ID,Category,Wind Speed (mph),Rain Fall (in.),Flood Depth (in.),Diameter (mi.),Warning Time,Start Time (made landfall),End Time (< category 1),Path,Path Length (mi.),Deaths,Permanent Injuries,Less Severe Injuries,Buildings Destroyed
H-2000000,2,102,9,14,231,"Dec. 15, 2004 - 21:43:52","Dec. 26, 2004 - 05:38:42","Dec. 26, 2004 - 20:38:42","-1.028331, 97.512893 -> 6.651929, 113.283307 -> 5.454316, 122.668733 -> 3.833713, 113.346548 -> 0.033845, 96.213258 -> -3.638404, 116.723488 -> 1.034357, 137.586215 -> 5.031533, 106.086267 -> -9.963589, 117.39704 -> -1.05467, 135.77436 -> -6.069931, 96.564493 -> -9.941906, 98.010246 -> -1.340418, 127.251896 -> 6.429848, 111.850703 -> -7.248219, 97.41519 -> -5.916852, 132.064036 -> -3.969867, 120.040559 -> -0.706423, 107.253791 -> -3.966722, 105.474676 -> -3.448847, 135.815019 -> -3.683044, 104.106013 -> 1.595619, 122.384198 -> 2.845595, 118.226227 -> -7.496592, 122.926312 -> 5.08465, 118.006921 -> 7.35814, 121.691408 -> -3.990628, 110.801223 -> 8.376098, 115.717055 -> -1.611776, 111.066569 -> 4.153254, 125.025965 -> 3.119184, 102.065923 -> 7.037807, 107.267408 -> -1.548269, 110.742222 -> -0.145146, 138.756485",130.0,20970,0,356744,75993
H-2000001,5,170,25,82,598,"Feb. 15, 1872 - 07:35:57","Feb. 24, 1872 - 04:03:35","Feb. 25, 1872 - 03:03:35","25.458321, -109.229572 -> 17.825827, -105.162909 -> 23.151753, -93.022759 -> 18.138294, -107.961663 -> 15.551461, -108.780518 -> 18.132195, -106.759808 -> 19.471434, -94.920084 -> 26.236041, -89.490831 -> 18.452104, -101.590292 -> 29.014177, -105.885953 -> 25.337513, -93.47652 -> 21.757247, -105.988665 -> 29.671233, -87.841608 -> 24.149782, -92.263013 -> 23.853598, -115.142349 -> 24.187946, -104.757417 -> 22.775865, -102.700471 -> 26.692918, -109.437803 -> 29.296725, -108.119734 -> 26.751462, -99.873425 -> 24.871198, -105.964008 -> 28.982373, -94.591887 -> 20.710282, -112.508852 -> 21.124463, -94.897646 -> 26.276084, -107.972878 -> 20.736534, -107.158658 -> 18.623012, -113.413173 -> 23.466176, -113.845329 -> 17.017494, -112.450905 -> 21.085834, -114.014522 -> 20.962462, -91.26238 -> 23.959681, -111.709694 -> 16.010503, -93.252295 -> 22.536122, -113.967092",199.0,163343,2239866,3043082,680490
H-2000002,1,87,7,3,52,"Oct. 04, 1954 - 12:20:36","Oct. 12, 1954 - 19:10:51","Oct. 13, 1954 - 07:10:51","34.977807, 106.468021 -> 31.633123, 102.041909 -> 34.805135, 105.571188 -> 38.844559, 111.341028 -> 24.027321, 87.893876 -> 38.587146, 102.651389 -> 22.145398, 98.486898 -> 31.071713, 116.05851 -> 26.629523, 116.130754 -> 23.177898, 118.673321 -> 28.091404, 117.444339 -> 37.590428, 118.920515 -> 23.70177, 108.089269 -> 24.071947, 113.009813 -> 34.639435, 99.998841 -> 23.173579, 100.815943 -> 37.21425, 95.254655 -> 35.471771, 92.566194 -> 29.838972, 112.285952 -> 28.9287, 96.553468 -> 24.52278, 117.799022 -> 34.585895, 97.776187 -> 32.972865, 97.556974 -> 35.09682, 97.781929 -> 22.167536, 105.953671 -> 32.83227, 99.574922 -> 26.299878, 109.231576 -> 25.235514, 107.917371 -> 34.058517, 88.923004 -> 37.722667, 109.623831 -> 33.638134, 100.421563 -> 29.335357, 98.528204 -> 25.031549, 113.251138 -> 27.357523, 117.358885",109.0,32610,0,493170,137800
H-2000003,3,114,10,7,320,"Aug. 25, 1951 - 10:20:47","Sep. 1, 1951 - 00:16:36","Sep. 1, 1951 - 18:16:36","30.809451, 107.608838 -> 35.672677, 102.946923 -> 38.312238, 89.605327 -> 33.100132, 92.191744 -> 36.486922, 97.268198 -> 23.756525, 87.655999 -> 32.592018, 93.215489 -> 31.992174, 114.305906 -> 31.173225, 88.907445 -> 36.305939, 113.954033 -> 25.023585, 96.160284 -> 29.474693, 112.342939 -> 22.27653, 119.796132 -> 28.282351, 111.47763 -> 25.502668, 100.200735 -> 28.088262, 87.615455 -> 25.454668, 118.452299 -> 34.389056, 89.07115 -> 33.214142, 93.634449 -> 23.859335, 102.908168 -> 25.231458, 91.969627 -> 28.099029, 101.658106 -> 33.485358, 100.622704 -> 28.317798, 92.880383 -> 28.678194, 99.259202 -> 36.021385, 93.287365 -> 27.071433, 106.389465 -> 25.153956, 116.750111 -> 23.214031, 92.685788 -> 34.48107, 101.888146 -> 32.269049, 103.72865 -> 28.709018, 116.840088 -> 22.680961, 110.860741 -> 24.935575, 91.288334",149.0,144763,547296,2340500,635223
H-2000004,3,119,12,22,204,"Apr. 17, 1955 - 18:10:36","Apr. 22, 1955 - 19:22:09","Apr. 23, 1955 - 14:22:09","43.482206, -92.758668 -> 42.112478, -99.971582 -> 40.53866, -76.775321 -> 32.840581, -110.256229 -> 38.931758, -102.836791 -> 37.113998, -82.451511 -> 42.791275, -86.116836 -> 39.582255, -110.528056 -> 33.979614, -86.093303 -> 41.454288, -119.793688 -> 31.891429, -89.477874 -> 38.83153, -108.489216 -> 40.176885, -89.811932 -> 32.736452, -108.900394 -> 31.141596, -112.167539 -> 43.402655, -84.581497 -> 39.750542, -122.769589 -> 36.080326, -110.776958 -> 44.92635, -111.89532 -> 37.658536, -78.804247 -> 45.909977, -98.427567 -> 41.528027, -94.436884 -> 44.972085, -98.076184 -> 37.015502, -71.14683 -> 37.617601, -98.137228 -> 35.624074, -112.580429 -> 38.651753, -112.162381 -> 35.474188, -77.338314 -> 33.345585, -98.234273 -> 48.517048, -109.80366 -> 34.665788, -114.750943 -> 46.460295, -115.611024 -> 38.870658, -83.821182 -> 41.023285, -85.695808",160.0,30994,116379,659461,138670
H-2000005,2,97,7,7,223,"Sep. 27, 1960 - 10:06:40","Oct. 7, 1960 - 18:56:09","Oct. 8, 1960 - 09:56:09","21.248849, 77.671909 -> 15.423005, 68.894953 -> 18.094971, 73.015909 -> 21.50184, 75.314525 -> 8.548107, 75.054236 -> 15.210518, 77.842084 -> 12.030589, 85.53427 -> 23.76158, 70.842593 -> 29.618223, 75.764095 -> 28.950984, 74.899942 -> 16.666757, 69.344892 -> 21.448652, 85.191899 -> 21.446448, 80.580749 -> 30.232538, 69.586324 -> 30.403641, 79.301704 -> 14.492624, 71.751071 -> 19.606416, 72.841065 -> 18.399343, 76.46072 -> 23.272323, 75.652566 -> 20.195682, 75.23046 -> 23.713228, 80.579829 -> 8.776454, 85.406429 -> 30.043686, 73.996691 -> 11.578183, 70.441541 -> 29.997782, 79.134963 -> 28.305711, 71.67845 -> 11.93982, 81.416991 -> 16.888424, 74.814897 -> 22.587374, 78.092665 -> 15.808588, 71.316753 -> 15.596263, 75.642596 -> 12.029782, 71.230105 -> 25.954582, 76.418215 -> 26.544292, 73.593908",125.0,38615,0,752145,154802
H-2000006,2,105,12,27,304,"Dec. 06, 1956 - 16:18:24","Dec. 13, 1956 - 17:38:40","Dec. 14, 1956 - 10:38:40","51.595661, 73.397763 -> 42.924314, 82.685165 -> 43.096623, 73.176965 -> 43.593713, 60.282762 -> 49.036175, 72.08269 -> 55.039524, 65.460484 -> 51.71268, 64.563152 -> 49.025616, 78.881887 -> 47.446554, 73.712965 -> 50.958786, 50.747566 -> 45.820248, 66.461148 -> 52.853938, 82.800196 -> 50.556362, 74.776182 -> 52.12083, 55.574155 -> 47.761295, 58.295343 -> 48.010929, 49.492665 -> 50.557201, 65.673306 -> 49.658481, 66.99382 -> 50.374572, 60.454271 -> 55.370103, 80.917537 -> 44.467636, 83.205878 -> 45.773812, 76.079373 -> 43.336242, 62.798616 -> 54.174062, 57.705891 -> 44.129935, 64.205746 -> 50.553865, 81.868447 -> 51.647747, 67.495173 -> 42.650589, 75.29046 -> 53.490136, 62.981057 -> 52.153446, 74.024832 -> 54.938398, 84.127533 -> 44.40323, 81.042121 -> 49.602036, 61.854625 -> 46.066023, 86.486576",144.0,2362,0,30054,10456
H-2000007,3,114,13,29,249,"Nov. 05, 1884 - 06:57:20","Nov. 12, 1884 - 06:58:45","Nov. 13, 1884 - 01:58:45","54.383738, 77.236374 -> 51.577214, 58.263136 -> 44.252613, 84.068972 -> 46.829467, 70.811748 -> 53.738013, 76.171929 -> 45.943545, 86.013776 -> 55.396476, 81.620468 -> 51.993105, 82.79432 -> 52.226048, 48.047053 -> 47.285158, 51.657796 -> 51.017533, 67.753969 -> 46.918962, 52.848391 -> 45.966555, 61.295015 -> 50.74249, 79.907816 -> 45.828376, 71.487673 -> 44.174123, 86.345081 -> 46.357646, 80.578682 -> 50.698752, 82.026456 -> 52.162781, 67.735639 -> 47.434202, 73.39363 -> 48.577039, 57.026631 -> 51.017537, 64.804788 -> 46.335732, 65.342254 -> 42.260696, 63.594526 -> 46.00602, 57.545585 -> 54.034038, 54.009042 -> 41.595924, 58.017903 -> 45.536598, 53.900653 -> 51.889348, 71.391508 -> 44.744952, 79.971546 -> 49.673002, 86.432072 -> 43.796609, 58.563339 -> 52.43735, 81.764682 -> 48.995791, 54.539014",163.0,7327,25645,139674,32457
H-2000008,3,124,13,29,339,"Aug. 23, 1902 - 21:14:26","Sep. 1, 1902 - 08:50:08","Sep. 2, 1902 - 00:50:08","23.611529, 112.341062 -> 27.358735, 100.893473 -> 32.920359, 112.090566 -> 27.742059, 105.201005 -> 21.917834, 105.624135 -> 23.912402, 97.655491 -> 29.387812, 91.565818 -> 26.41551, 99.07631 -> 37.059964, 96.928758 -> 38.325002, 105.930882 -> 23.715401, 87.996092 -> 22.643747, 100.966816 -> 25.716973, 106.477124 -> 22.437387, 102.195264 -> 38.145211, 96.355397 -> 25.568987, 94.833904 -> 30.796158, 114.298273 -> 33.739448, 107.99676 -> 38.47558, 89.18522 -> 33.317262, 101.24313 -> 22.928573, 103.689557 -> 36.220199, 107.067692 -> 32.976094, 95.482792 -> 29.283253, 118.10356 -> 30.954988, 87.81383 -> 26.47497, 90.002058 -> 25.65394, 112.491183 -> 26.360119, 105.775894 -> 24.733874, 110.338363 -> 34.866436, 89.681853 -> 27.479647, 119.523642 -> 32.32086, 89.507844 -> 30.83765, 90.185473 -> 26.169645, 87.808921",152.0,196447,764536,2759634,790031
H-2000009,3,111,11,21,308,"Nov. 16, 1988 - 08:07:33","Nov. 26, 1988 - 05:15:36","Nov. 27, 1988 - 00:15:36","39.734633, -80.496818 -> 46.948893, -81.235365 -> 39.6819, -74.588595 -> 43.575791, -97.391752 -> 45.72089, -72.923424 -> 36.600389, -93.521099 -> 32.129395, -95.141521 -> 36.005355, -88.326156 -> 37.944515, -104.476642 -> 37.381734, -119.989548 -> 37.665167, -116.762622 -> 31.606196, -89.957324 -> 34.382764, -88.852142 -> 45.210689, -100.656438 -> 43.88829, -113.406528 -> 30.856982, -123.982382 -> 43.949892, -74.980721 -> 39.633647, -110.999767 -> 45.418409, -87.478136 -> 31.935233, -82.264577 -> 38.298919, -105.665639 -> 47.020137, -102.285066 -> 36.089478, -85.579053 -> 38.220927, -78.903363 -> 47.763829, -98.543268 -> 37.293496, -113.462455 -> 44.124518, -87.582807 -> 35.807472, -73.439018 -> 38.896083, -105.806593 -> 41.253791, -111.510532 -> 45.335903, -93.798591 -> 42.008796, -107.921618 -> 43.511709, -79.727308 -> 37.270108, -95.112777",149.0,69968,299785,1366021,278950
