Item ID,Name,Cost (per unit),Quantity,Campaign ID
RI-0000030I,"Short Sleeve T-Shirt X-Large Bundle (x250 shirts)",$395.0,28,RC-1100000
RI-0000045I,"Shorts Medium Bundle (x250 shorts)",$1140.0,22,RC-1100000
RI-0000050I,"Socks Case (480 pairs)",$288.0,6,RC-1100000
RI-0000048I,"Shorts XX-Large Bundle (x100 shorts)",$656.0,16,RC-1100000
RI-0000028I,"Short Sleeve T-Shirt Medium Bundle (x250 shirts)",$395.0,13,RC-1100000
RI-0000033I,"Long Sleeve T-Shirt Small Bundle (x100 shirts)",$495.0,28,RC-1100000
RI-0000029I,"Short Sleeve T-Shirt Large Bundle (x250 shirts)",$395.0,22,RC-1100000
RI-0000043I,"Pants XX-Large Bundle (x100 pants)",$1203.0,12,RC-1100000
RI-0000049I,"Shorts XXX-Large Bundle (x100 shorts)",$831.0,10,RC-1100000
RI-0000035I,"Long Sleeve T-Shirt Large Bundle (x250 shirts)",$1237.5,4,RC-1100000
RI-0000051I,"Shoes Pack (12 pairs)",$168.72,7,RC-1100000
RI-0000039I,"Pants Small Bundle (x100 pants)",$849.0,5,RC-1100000
RI-0000027I,"Short Sleeve T-Shirt Small Bundle (x100 shirts)",$158.0,19,RC-1100000
RI-0000037I,"Long Sleeve T-Shirt XX-Large Bundle (x100 shirts)",$664.0,27,RC-1100000
RI-0000031I,"Short Sleeve T-Shirt XX-Large Bundle (x100 shirts)",$398.0,29,RC-1100000
RI-0000041I,"Pants Large Bundle (x250 pants)",$2122.5,3,RC-1100000
RI-0000034I,"Long Sleeve T-Shirt Medium Bundle (x250 shirts)",$1237.5,19,RC-1100000
RI-0000005D,"Hand Crank Self Powered AM/FM/NOAA Solar Weather Radio",$8.08,17,RC-1100000
RI-0000006D,"Hand Crank Powered Flashlight Crate (x500 lights)",$1630.0,16,RC-1100000
RI-0000024H,"Dog Food 52 lbs.",$19.99,20,RC-1100000
RI-0000025H,"Cat Food 12 lbs.",$23.74,27,RC-1100000
RI-0000022G,"Size 2 Diapers Box (x216 diapers)",$55.06,16,RC-1100000
RI-0000021G,"Size 1 Diapers Box (x252 diapers)",$29.97,23,RC-1100000
RI-0000020G,"21 oz. Organic Baby Formula Pack (x4 containers)",$119.96,15,RC-1100000
RI-0000010F,"Energizer AAA Battery Case (x144 batteries)",$50.4,12,RC-1100000
RI-0000011F,"Energizer CR2032 Coin Battery Pack (x5 batteries)",$5.95,4,RC-1100000
RI-0000000A,"Aluminum Bottles Crate (x100 bottles)",$445.0,17,RC-1100000
RI-0000002C,"10 oz. Canned Food Pack (x6 cans)",$29.99,2,RC-1100001
RI-0000059J,"3 in. x 0.120-Gauge 30-Degree Brite Smooth Shank Paper Tape Framing Nails 2500 Pack (x50 packs)",$1826.5,18,RC-1100001
RI-0000054J,"19/32 in. x 4 ft. x 8 ft. Oriented Strand Board (x100 pieces)",$2643.0,14,RC-1100001
RI-0000057J,"2 in. x 4 in. x 12 ft. Kiln Dried Heat Treated Spruce-Pine-Fir Lumber (x100 pieces)",$1132.0,19,RC-1100001
RI-0000060J,"Royal Sovereign Weathered Gray Algae Resistant 3-Tab Roofing Shingles 26 Pack (x50 packs)",$1040.0,4,RC-1100001
RI-0000055J,"2 in. x 4 in. x 96 in. Prime Whitewood Stud (x100 pieces)",$525.0,4,RC-1100001
RI-0000058J,"Grip-Rite Grip Rite 1-1/4 in. 7200 Pack Smooth Galvanized Coil Roofing Nails (x50 packs)",$1146.5,14,RC-1100001
RI-0000052J,"15/32 in. x 4 ft. x 8 ft. 3-Ply RTD Sheathing (x100 pieces)",$2921.0,26,RC-1100001
RI-0000053J,"23/32 in. x 4 ft. x 8 ft. RTD Sheathing Syp (x100 pieces)",$3661.0,6,RC-1100001
RI-0000056J,"2 in. x 4 in. x 8 ft. Appearance Grade Spruce Lumber (x100 pieces)",$525.0,4,RC-1100001
RI-0000000A,"Aluminum Bottles Crate (x100 bottles)",$445.0,20,RC-1100001
RI-0000003C,"14.5 oz. Canned Food Pack (x12 cans)",$6.78,20,RC-1100002
RI-0000025H,"Cat Food 12 lbs.",$23.74,8,RC-1100002
RI-0000053J,"23/32 in. x 4 ft. x 8 ft. RTD Sheathing Syp (x100 pieces)",$3661.0,6,RC-1100002
RI-0000057J,"2 in. x 4 in. x 12 ft. Kiln Dried Heat Treated Spruce-Pine-Fir Lumber (x100 pieces)",$1132.0,18,RC-1100002
RI-0000007E,"First Aid Kit",$12.24,22,RC-1100002
RI-0000018E,"Antacid Medication Crate (x200 caplets)",$69.0,24,RC-1100002
RI-0000013E,"Sanitary Wipes Pack (x320 wipes)",$13.49,13,RC-1100002
RI-0000017E,"Anti-allergy Medication Crate (x300 caplets)",$34.5,15,RC-1100002
RI-0000015E,"Anti-diarrhea Medication Crate (x100 caplets)",$39.5,24,RC-1100002
RI-0000025H,"Cat Food 12 lbs.",$23.74,19,RC-1100003
RI-0000024H,"Dog Food 52 lbs.",$19.99,14,RC-1100003
RI-0000003C,"14.5 oz. Canned Food Pack (x12 cans)",$6.78,24,RC-1100003
RI-0000024H,"Dog Food 52 lbs.",$19.99,16,RC-1100004
RI-0000025H,"Cat Food 12 lbs.",$23.74,20,RC-1100004
RI-0000031I,"Short Sleeve T-Shirt XX-Large Bundle (x100 shirts)",$398.0,3,RC-1100004
RI-0000046I,"Shorts Large Bundle (x250 shorts)",$1140.0,23,RC-1100004
