City,Country,Population,Min. Latitude,Max. Latitude,Min. Longitude,Max. Longitude
Moscow,Russia,12480481,55.608334,56.891743,36.988038,44.383885
Saint Petersburg,Russia,5398064,56.891744,58.175153,44.383886,51.779733
Novosibirsk,Russia,1625631,58.175154,59.458563,51.779734,59.175581
Yekaterinburg,Russia,1493749,59.458564,60.741973,59.175582,66.571429
Kazan,Russia,1257391,60.741974,62.025383,66.57143,73.967277
Nizhny Novgorod,Russia,1252236,62.025384,63.308793,73.967278,81.363125
Chelyabinsk,Russia,1196680,63.308794,64.592203,81.363126,88.758973
Samara,Russia,1156659,64.592204,65.875613,88.758974,96.154821
Omsk,Russia,1154507,65.875614,67.159023,96.154822,103.550669
Rostov-on-Don,Russia,1137904,67.159024,68.442433,103.55067,110.946518
Ufa,Russia,1128787,68.442434,69.725843,110.946519,118.342366
Krasnoyarsk,Russia,1093771,69.725844,71.009253,118.342367,125.738214
Voronezh,Russia,1058261,71.009254,72.292663,125.738215,133.134062
Perm,Russia,1055397,72.292664,73.576073,133.134063,140.52991
Volgograd,Russia,1008998,73.576074,74.859483,140.529911,147.925758
Krasnodar,Russia,932629,74.859484,76.142893,147.925759,155.321606
Saratov,Russia,838042,76.142894,77.426304,155.321607,162.717454
Tyumen,Russia,807271,55.608334,56.891743,162.717455,170.113302
Tolyatti,Russia,699429,56.891744,58.175153,170.113303,177.509152
Izhevsk,Russia,648146,58.175154,59.458563,36.988038,44.383885
Barnaul,Russia,632391,59.458564,60.741973,44.383886,51.779733
Ulyanovsk,Russia,627705,60.741974,62.025383,51.779734,59.175581
Irkutsk,Russia,623562,62.025384,63.308793,59.175582,66.571429
Khabarovsk,Russia,616372,63.308794,64.592203,66.57143,73.967277
Yaroslavl,Russia,608353,64.592204,65.875613,73.967278,81.363125
Vladivostok,Russia,606561,65.875614,67.159023,81.363126,88.758973
Makhachkala,Russia,603518,67.159024,68.442433,88.758974,96.154821
Tomsk,Russia,576624,68.442434,69.725843,96.154822,103.550669
