ID,type,start_time,end_time,time_of_warning,wind_speed,rainfall,flood_depth,magnitude,cause
H-2000000,hurricane,"2004-12-26T05:38:42","2004-12-26T20:38:42","2004-12-15T21:43:52",102,9,14,2,null
H-2000001,hurricane,"1872-02-24T04:03:35","1872-02-25T03:03:35","1872-02-15T07:35:57",170,25,82,5,null
H-2000002,hurricane,"1954-10-12T19:10:51","1954-10-13T07:10:51","1954-10-04T12:20:36",87,7,3,1,null
H-2000003,hurricane,"1951-09-01T00:16:36","1951-09-01T18:16:36","1951-08-25T10:20:47",114,10,7,3,null
H-2000004,hurricane,"1955-04-22T19:22:09","1955-04-23T14:22:09","1955-04-17T18:10:36",119,12,22,3,null
H-2000005,hurricane,"1960-10-07T18:56:09","1960-10-08T09:56:09","1960-09-27T10:06:40",97,7,7,2,null
H-2000006,hurricane,"1956-12-13T17:38:40","1956-12-14T10:38:40","1956-12-06T16:18:24",105,12,27,2,null
H-2000007,hurricane,"1884-11-12T06:58:45","1884-11-13T01:58:45","1884-11-05T06:57:20",114,13,29,3,null
H-2000008,hurricane,"1902-09-01T08:50:08","1902-09-02T00:50:08","1902-08-23T21:14:26",124,13,29,3,null
H-2000009,hurricane,"1988-11-26T05:15:36","1988-11-27T00:15:36","1988-11-16T08:07:33",111,11,21,3,null
H-2000010,hurricane,"1944-12-25T04:51:36","1944-12-25T22:51:36","1944-12-19T04:23:48",112,13,35,3,null
H-2000011,hurricane,"1917-04-09T17:00:58","1917-04-10T14:00:58","1917-04-04T12:45:40",171,29,112,5,null
H-2000012,hurricane,"1970-10-22T15:15:23","1970-10-23T08:15:23","1970-10-15T23:15:02",126,11,13,3,null
H-2000013,hurricane,"1978-05-14T01:47:55","1978-05-14T16:47:55","1978-05-09T12:23:31",80,9,9,1,null
H-2000014,hurricane,"1899-07-21T23:55:08","1899-07-22T16:55:08","1899-07-15T23:54:40",107,8,13,2,null
H-2000015,hurricane,"1938-03-22T08:54:04","1938-03-23T00:54:04","1938-03-16T21:09:33",107,8,19,2,null
H-2000016,hurricane,"1906-03-27T15:35:51","1906-03-28T09:35:51","1906-03-18T02:34:23",147,34,110,4,null
H-2000017,hurricane,"1911-09-08T05:40:40","1911-09-09T01:40:40","1911-09-01T06:55:15",170,37,135,5,null
H-2000018,hurricane,"1899-01-25T19:39:18","1899-01-26T17:39:18","1899-01-19T09:12:53",162,46,200,5,null
H-2000019,hurricane,"1962-11-28T11:44:13","1962-11-29T09:44:13","1962-11-18T15:12:22",167,57,229,5,null
H-2000020,hurricane,"1932-10-02T16:21:26","1932-10-03T13:21:26","1932-09-22T04:31:03",164,33,106,5,null
H-2000021,hurricane,"1943-04-08T04:30:54","1943-04-08T18:30:54","1943-04-03T16:39:18",99,7,12,2,null
H-2000022,hurricane,"1877-02-05T03:04:13","1877-02-05T18:04:13","1877-01-25T13:27:13",100,9,0,2,null
H-2000023,hurricane,"1950-04-17T21:50:18","1950-04-18T11:50:18","1950-04-10T18:32:02",76,5,7,1,null
H-2000024,hurricane,"1875-03-20T00:34:03","1875-03-20T18:34:03","1875-03-09T22:35:51",124,12,21,3,null
H-2000025,hurricane,"1967-08-20T21:51:29","1967-08-21T12:51:29","1967-08-16T07:43:35",96,10,5,2,null
H-2000026,hurricane,"2001-09-16T07:55:55","2001-09-16T19:55:55","2001-09-10T05:24:57",90,5,3,1,null
H-2000027,hurricane,"2018-07-07T05:40:04","2018-07-07T22:40:04","2018-06-28T21:43:24",124,9,20,3,null
H-2000028,hurricane,"1953-10-27T05:38:50","1953-10-27T21:38:50","1953-10-19T03:59:02",129,13,27,3,null
H-2000029,hurricane,"2007-10-29T02:00:19","2007-10-30T02:00:19","2007-10-23T10:47:48",189,41,153,5,null
H-2000030,hurricane,"1883-08-20T04:08:20","1883-08-20T23:08:20","1883-08-12T07:01:58",117,15,17,3,null
H-2000031,hurricane,"1869-03-21T08:46:16","1869-03-22T05:46:16","1869-03-13T11:10:39",153,30,120,4,null
H-2000032,hurricane,"1973-08-27T01:11:51","1973-08-27T21:11:51","1973-08-18T05:03:02",190,46,173,5,null
H-2000033,hurricane,"2010-07-29T05:42:30","2010-07-30T02:42:30","2010-07-24T01:42:42",141,29,77,4,null
H-2000034,hurricane,"1897-03-30T16:39:12","1897-03-31T16:39:12","1897-03-22T08:42:44",162,48,204,5,null
H-2000035,hurricane,"1933-03-25T16:11:48","1933-03-26T10:11:48","1933-03-17T20:20:49",138,34,122,4,null
H-2000036,hurricane,"1986-11-29T09:09:14","1986-11-30T05:09:14","1986-11-19T07:39:41",160,56,234,5,null
