disaster_ID,latitude,longitude,order
H-2000000,-1.028331,97.512893,1
H-2000000,6.651929,113.283307,2
H-2000000,5.454316,122.668733,3
H-2000000,3.833713,113.346548,4
H-2000000,0.033845,96.213258,5
H-2000000,-3.638404,116.723488,6
H-2000000,1.034357,137.586215,7
H-2000000,5.031533,106.086267,8
H-2000000,-9.963589,117.39704,9
H-2000000,-1.05467,135.77436,10
H-2000000,-6.069931,96.564493,11
H-2000000,-9.941906,98.010246,12
H-2000000,-1.340418,127.251896,13
H-2000000,6.429848,111.850703,14
H-2000000,-7.248219,97.41519,15
H-2000000,-5.916852,132.064036,16
H-2000000,-3.969867,120.040559,17
H-2000000,-0.706423,107.253791,18
H-2000000,-3.966722,105.474676,19
H-2000000,-3.448847,135.815019,20
H-2000000,-3.683044,104.106013,21
H-2000000,1.595619,122.384198,22
H-2000000,2.845595,118.226227,23
H-2000000,-7.496592,122.926312,24
H-2000000,5.08465,118.006921,25
H-2000000,7.35814,121.691408,26
H-2000000,-3.990628,110.801223,27
H-2000000,8.376098,115.717055,28
H-2000000,-1.611776,111.066569,29
H-2000000,4.153254,125.025965,30
H-2000000,3.119184,102.065923,31
H-2000000,7.037807,107.267408,32
H-2000000,-1.548269,110.742222,33
H-2000000,-0.145146,138.756485,34
H-2000001,25.458321,-109.229572,1
H-2000001,17.825827,-105.162909,2
H-2000001,23.151753,-93.022759,3
H-2000001,18.138294,-107.961663,4
H-2000001,15.551461,-108.780518,5
H-2000001,18.132195,-106.759808,6
H-2000001,19.471434,-94.920084,7
H-2000001,26.236041,-89.490831,8
H-2000001,18.452104,-101.590292,9
H-2000001,29.014177,-105.885953,10
H-2000001,25.337513,-93.47652,11
H-2000001,21.757247,-105.988665,12
H-2000001,29.671233,-87.841608,13
H-2000001,24.149782,-92.263013,14
H-2000001,23.853598,-115.142349,15
H-2000001,24.187946,-104.757417,16
H-2000001,22.775865,-102.700471,17
H-2000001,26.692918,-109.437803,18
H-2000001,29.296725,-108.119734,19
H-2000001,26.751462,-99.873425,20
H-2000001,24.871198,-105.964008,21
H-2000001,28.982373,-94.591887,22
H-2000001,20.710282,-112.508852,23
H-2000001,21.124463,-94.897646,24
H-2000001,26.276084,-107.972878,25
H-2000001,20.736534,-107.158658,26
H-2000001,18.623012,-113.413173,27
H-2000001,23.466176,-113.845329,28
H-2000001,17.017494,-112.450905,29
H-2000001,21.085834,-114.014522,30
H-2000001,20.962462,-91.26238,31
H-2000001,23.959681,-111.709694,32
H-2000001,16.010503,-93.252295,33
H-2000001,22.536122,-113.967092,34
H-2000002,34.977807,106.468021,1
H-2000002,31.633123,102.041909,2
H-2000002,34.805135,105.571188,3
H-2000002,38.844559,111.341028,4
H-2000002,24.027321,87.893876,5
H-2000002,38.587146,102.651389,6
H-2000002,22.145398,98.486898,7
H-2000002,31.071713,116.05851,8
H-2000002,26.629523,116.130754,9
H-2000002,23.177898,118.673321,10
H-2000002,28.091404,117.444339,11
H-2000002,37.590428,118.920515,12
H-2000002,23.70177,108.089269,13
H-2000002,24.071947,113.009813,14
H-2000002,34.639435,99.998841,15
H-2000002,23.173579,100.815943,16
H-2000002,37.21425,95.254655,17
H-2000002,35.471771,92.566194,18
H-2000002,29.838972,112.285952,19
H-2000002,28.9287,96.553468,20
H-2000002,24.52278,117.799022,21
H-2000002,34.585895,97.776187,22
H-2000002,32.972865,97.556974,23
H-2000002,35.09682,97.781929,24
H-2000002,22.167536,105.953671,25
H-2000002,32.83227,99.574922,26
H-2000002,26.299878,109.231576,27
H-2000002,25.235514,107.917371,28
H-2000002,34.058517,88.923004,29
H-2000002,37.722667,109.623831,30
H-2000002,33.638134,100.421563,31
H-2000002,29.335357,98.528204,32
H-2000002,25.031549,113.251138,33
H-2000002,27.357523,117.358885,34
H-2000003,30.809451,107.608838,1
H-2000003,35.672677,102.946923,2
H-2000003,38.312238,89.605327,3
H-2000003,33.100132,92.191744,4
H-2000003,36.486922,97.268198,5
H-2000003,23.756525,87.655999,6
H-2000003,32.592018,93.215489,7
H-2000003,31.992174,114.305906,8
H-2000003,31.173225,88.907445,9
H-2000003,36.305939,113.954033,10
H-2000003,25.023585,96.160284,11
H-2000003,29.474693,112.342939,12
H-2000003,22.27653,119.796132,13
H-2000003,28.282351,111.47763,14
H-2000003,25.502668,100.200735,15
H-2000003,28.088262,87.615455,16
H-2000003,25.454668,118.452299,17
H-2000003,34.389056,89.07115,18
H-2000003,33.214142,93.634449,19
H-2000003,23.859335,102.908168,20
H-2000003,25.231458,91.969627,21
H-2000003,28.099029,101.658106,22
H-2000003,33.485358,100.622704,23
H-2000003,28.317798,92.880383,24
H-2000003,28.678194,99.259202,25
H-2000003,36.021385,93.287365,26
H-2000003,27.071433,106.389465,27
H-2000003,25.153956,116.750111,28
H-2000003,23.214031,92.685788,29
H-2000003,34.48107,101.888146,30
H-2000003,32.269049,103.72865,31
H-2000003,28.709018,116.840088,32
H-2000003,22.680961,110.860741,33
H-2000003,24.935575,91.288334,34
H-2000004,43.482206,-92.758668,1
H-2000004,42.112478,-99.971582,2
H-2000004,40.53866,-76.775321,3
H-2000004,32.840581,-110.256229,4
H-2000004,38.931758,-102.836791,5
H-2000004,37.113998,-82.451511,6
H-2000004,42.791275,-86.116836,7
H-2000004,39.582255,-110.528056,8
H-2000004,33.979614,-86.093303,9
H-2000004,41.454288,-119.793688,10
H-2000004,31.891429,-89.477874,11
H-2000004,38.83153,-108.489216,12
H-2000004,40.176885,-89.811932,13
H-2000004,32.736452,-108.900394,14
H-2000004,31.141596,-112.167539,15
H-2000004,43.402655,-84.581497,16
H-2000004,39.750542,-122.769589,17
H-2000004,36.080326,-110.776958,18
H-2000004,44.92635,-111.89532,19
H-2000004,37.658536,-78.804247,20
H-2000004,45.909977,-98.427567,21
H-2000004,41.528027,-94.436884,22
H-2000004,44.972085,-98.076184,23
H-2000004,37.015502,-71.14683,24
H-2000004,37.617601,-98.137228,25
H-2000004,35.624074,-112.580429,26
H-2000004,38.651753,-112.162381,27
H-2000004,35.474188,-77.338314,28
H-2000004,33.345585,-98.234273,29
H-2000004,48.517048,-109.80366,30
H-2000004,34.665788,-114.750943,31
H-2000004,46.460295,-115.611024,32
H-2000004,38.870658,-83.821182,33
H-2000004,41.023285,-85.695808,34
H-2000005,21.248849,77.671909,1
H-2000005,15.423005,68.894953,2
H-2000005,18.094971,73.015909,3
H-2000005,21.50184,75.314525,4
H-2000005,8.548107,75.054236,5
H-2000005,15.210518,77.842084,6
H-2000005,12.030589,85.53427,7
H-2000005,23.76158,70.842593,8
H-2000005,29.618223,75.764095,9
H-2000005,28.950984,74.899942,10
H-2000005,16.666757,69.344892,11
H-2000005,21.448652,85.191899,12
H-2000005,21.446448,80.580749,13
H-2000005,30.232538,69.586324,14
H-2000005,30.403641,79.301704,15
H-2000005,14.492624,71.751071,16
H-2000005,19.606416,72.841065,17
H-2000005,18.399343,76.46072,18
H-2000005,23.272323,75.652566,19
H-2000005,20.195682,75.23046,20
H-2000005,23.713228,80.579829,21
H-2000005,8.776454,85.406429,22
H-2000005,30.043686,73.996691,23
H-2000005,11.578183,70.441541,24
H-2000005,29.997782,79.134963,25
H-2000005,28.305711,71.67845,26
H-2000005,11.93982,81.416991,27
H-2000005,16.888424,74.814897,28
H-2000005,22.587374,78.092665,29
H-2000005,15.808588,71.316753,30
H-2000005,15.596263,75.642596,31
H-2000005,12.029782,71.230105,32
H-2000005,25.954582,76.418215,33
H-2000005,26.544292,73.593908,34
H-2000006,51.595661,73.397763,1
H-2000006,42.924314,82.685165,2
H-2000006,43.096623,73.176965,3
H-2000006,43.593713,60.282762,4
H-2000006,49.036175,72.08269,5
H-2000006,55.039524,65.460484,6
H-2000006,51.71268,64.563152,7
H-2000006,49.025616,78.881887,8
H-2000006,47.446554,73.712965,9
H-2000006,50.958786,50.747566,10
H-2000006,45.820248,66.461148,11
H-2000006,52.853938,82.800196,12
H-2000006,50.556362,74.776182,13
H-2000006,52.12083,55.574155,14
H-2000006,47.761295,58.295343,15
H-2000006,48.010929,49.492665,16
H-2000006,50.557201,65.673306,17
H-2000006,49.658481,66.99382,18
H-2000006,50.374572,60.454271,19
H-2000006,55.370103,80.917537,20
H-2000006,44.467636,83.205878,21
