latitude,longitude,city,state
-1.028331,97.512893,Pemangkat,Indonesia
6.651929,113.283307,Tanggulangin,Indonesia
5.454316,122.668733,Sungai Raya,Indonesia
3.833713,113.346548,Sunggal,Indonesia
0.033845,96.213258,Lumajang,Indonesia
-3.638404,116.723488,Sragen,Indonesia
1.034357,137.586215,Soe,Indonesia
5.031533,106.086267,Singojuruh,Indonesia
-9.963589,117.39704,Boyolangu,Indonesia
-1.05467,135.77436,Arjawinangun,Indonesia
-6.069931,96.564493,Kediri,Indonesia
-9.941906,98.010246,Jakarta,Indonesia
-1.340418,127.251896,Soko,Indonesia
6.429848,111.850703,Negara,Indonesia
-7.248219,97.41519,Banjarmasin,Indonesia
-5.916852,132.064036,Praya,Indonesia
-3.969867,120.040559,Watampone,Indonesia
-0.706423,107.253791,Pematangsiantar,Indonesia
-3.966722,105.474676,Manado,Indonesia
-3.448847,135.815019,Ruteng,Indonesia
-3.683044,104.106013,Dompu,Indonesia
1.595619,122.384198,Lamongan,Indonesia
2.845595,118.226227,Buduran,Indonesia
-7.496592,122.926312,Amlapura City,Indonesia
5.08465,118.006921,Baturaden,Indonesia
7.35814,121.691408,Diwek,Indonesia
-3.990628,110.801223,Tangerang,Indonesia
8.376098,115.717055,Jaten,Indonesia
-1.611776,111.066569,Besuki,Indonesia
4.153254,125.025965,Tanjungagung,Indonesia
3.119184,102.065923,Srandakan,Indonesia
7.037807,107.267408,Grogol,Indonesia
-1.548269,110.742222,Jambi City,Indonesia
-0.145146,138.756485,Selogiri,Indonesia
25.458321,-109.229572,Martinez De La Torre,Mexico
17.825827,-105.162909,San Fernando,Mexico
23.151753,-93.022759,Victor rosales,Mexico
18.138294,-107.961663,Reform,Mexico
15.551461,-108.780518,Loma Bonita,Mexico
18.132195,-106.759808,Leyva Solano,Mexico
19.471434,-94.920084,Polanco,Mexico
26.236041,-89.490831,Tequisquiapan,Mexico
18.452104,-101.590292,Zacatlan,Mexico
29.014177,-105.885953,Taxco De Alarcon,Mexico
25.337513,-93.47652,Sayula,Mexico
21.757247,-105.988665,Santa Maria Chimalhuacan,Mexico
29.671233,-87.841608,Mixquiahuala De Juarez,Mexico
24.149782,-92.263013,Tenosique,Mexico
23.853598,-115.142349,Saint Peter,Mexico
24.187946,-104.757417,Uruapan,Mexico
22.775865,-102.700471,Zapopan,Mexico
26.692918,-109.437803,City Of Huajuapan De Leon,Mexico
29.296725,-108.119734,Salvatierra,Mexico
26.751462,-99.873425,Pachuca De Soto,Mexico
24.871198,-105.964008,Zacatecas,Mexico
28.982373,-94.591887,Beautiful villa,Mexico
20.710282,-112.508852,Good view,Mexico
21.124463,-94.897646,The Kings Of Salgado,Mexico
26.276084,-107.972878,Villa Vicente Guerrero,Mexico
20.736534,-107.158658,Coyoacan,Mexico
18.623012,-113.413173,Victoria City,Mexico
23.466176,-113.845329,Cortazar,Mexico
17.017494,-112.450905,Ecatepec De Morelos,Mexico
21.085834,-114.014522,Minatitlan,Mexico
20.962462,-91.26238,San Bernardino Tlaxcalancingo,Mexico
23.959681,-111.709694,San Miguel de Allende,Mexico
16.010503,-93.252295,San Pablo De Las Salinas,Mexico
22.536122,-113.967092,Guasave,Mexico
34.977807,106.468021,Nanning,China
31.633123,102.041909,Handan,China
34.805135,105.571188,Puyang Chengguanzhen,China
38.844559,111.341028,Zhanjiang,China
24.027321,87.893876,Dadonghai,China
38.587146,102.651389,Jinzhou,China
22.145398,98.486898,Beipiao,China
31.071713,116.05851,Fendou,China
26.629523,116.130754,Chifeng,China
23.177898,118.673321,Changshu City,China
28.091404,117.444339,Chengzhong,China
37.590428,118.920515,Tieli,China
23.70177,108.089269,Wafangdian,China
24.071947,113.009813,Wenshan City,China
34.639435,99.998841,Lianshan,China
23.173579,100.815943,Guangshui,China
37.21425,95.254655,Huangyan,China
35.471771,92.566194,Huzhou,China
29.838972,112.285952,Acheng,China
28.9287,96.553468,Changzhou,China
24.52278,117.799022,Yancheng,China
34.585895,97.776187,Baicheng,China
32.972865,97.556974,Weifang,China
35.09682,97.781929,Jining,China
22.167536,105.953671,Liupanshui,China
32.83227,99.574922,Zhangzhou,China
26.299878,109.231576,Fuling,China
25.235514,107.917371,Quanzhou,China
34.058517,88.923004,Longfeng,China
37.722667,109.623831,Guilin,China
33.638134,100.421563,Bengbu,China
