campaign_ID,item_ID,quantity
RC-1100000,RI-0000030I,28
RC-1100000,RI-0000045I,22
RC-1100000,RI-0000050I,6
RC-1100000,RI-0000048I,16
RC-1100000,RI-0000028I,13
RC-1100000,RI-0000033I,28
RC-1100000,RI-0000029I,22
RC-1100000,RI-0000043I,12
RC-1100000,RI-0000049I,10
RC-1100000,RI-0000035I,4
RC-1100000,RI-0000051I,7
RC-1100000,RI-0000039I,5
RC-1100000,RI-0000027I,19
RC-1100000,RI-0000037I,27
RC-1100000,RI-0000031I,29
RC-1100000,RI-0000041I,3
RC-1100000,RI-0000034I,19
RC-1100000,RI-0000005D,17
RC-1100000,RI-0000006D,16
RC-1100000,RI-0000024H,20
RC-1100000,RI-0000025H,27
RC-1100000,RI-0000022G,16
RC-1100000,RI-0000021G,23
RC-1100000,RI-0000020G,15
RC-1100000,RI-0000010F,12
RC-1100000,RI-0000011F,4
RC-1100000,RI-0000000A,17
RC-1100001,RI-0000002C,2
RC-1100001,RI-0000059J,18
RC-1100001,RI-0000054J,14
RC-1100001,RI-0000057J,19
RC-1100001,RI-0000060J,4
RC-1100001,RI-0000055J,4
RC-1100001,RI-0000058J,14
RC-1100001,RI-0000052J,26
RC-1100001,RI-0000053J,6
RC-1100001,RI-0000056J,4
RC-1100001,RI-0000000A,20
RC-1100002,RI-0000003C,20
RC-1100002,RI-0000025H,8
RC-1100002,RI-0000053J,6
RC-1100002,RI-0000057J,18
RC-1100002,RI-0000007E,22
RC-1100002,RI-0000018E,24
RC-1100002,RI-0000013E,13
RC-1100002,RI-0000017E,15
RC-1100002,RI-0000015E,24
RC-1100003,RI-0000025H,19
RC-1100003,RI-0000024H,14
RC-1100003,RI-0000003C,24
RC-1100004,RI-0000024H,16
RC-1100004,RI-0000025H,20
RC-1100004,RI-0000031I,3
RC-1100004,RI-0000046I,23
RC-1100004,RI-0000039I,19
RC-1100004,RI-0000043I,21
RC-1100004,RI-0000027I,24
RC-1100004,RI-0000041I,1
RC-1100004,RI-0000044I,11
RC-1100004,RI-0000048I,29
RC-1100004,RI-0000051I,21
RC-1100004,RI-0000040I,4
RC-1100004,RI-0000038I,8
RC-1100004,RI-0000034I,24
RC-1100004,RI-0000037I,20
RC-1100004,RI-0000028I,17
RC-1100004,RI-0000035I,24
RC-1100004,RI-0000030I,21
RC-1100004,RI-0000033I,25
RC-1100004,RI-0000050I,3
RC-1100004,RI-0000045I,6
RC-1100004,RI-0000029I,6
RC-1100004,RI-0000042I,7
RC-1100004,RI-0000006D,13
RC-1100005,RI-0000009F,8
RC-1100005,RI-0000006D,26
RC-1100005,RI-0000026D,3
RC-1100005,RI-0000014E,29
RC-1100005,RI-0000018E,26
RC-1100005,RI-0000013E,1
RC-1100005,RI-0000016E,7
RC-1100005,RI-0000000A,30
RC-1100005,RI-0000046I,6
RC-1100005,RI-0000042I,8
RC-1100005,RI-0000048I,17
RC-1100005,RI-0000032I,16
RC-1100005,RI-0000047I,5
RC-1100005,RI-0000028I,15
RC-1100005,RI-0000044I,17
RC-1100005,RI-0000036I,27
RC-1100005,RI-0000038I,27
RC-1100005,RI-0000040I,16
RC-1100005,RI-0000029I,1
RC-1100005,RI-0000002C,30
RC-1100005,RI-0000003C,16
RC-1100005,RI-0000004C,19
RC-1100005,RI-0000019G,28
RC-1100005,RI-0000023G,2
RC-1100006,RI-0000005D,3
RC-1100006,RI-0000006D,16
RC-1100006,RI-0000026D,6
RC-1100006,RI-0000013E,16
RC-1100006,RI-0000015E,5
RC-1100006,RI-0000012E,17
RC-1100006,RI-0000016E,17
RC-1100006,RI-0000017E,23
RC-1100006,RI-0000014E,10
RC-1100006,RI-0000007E,23
RC-1100006,RI-0000018E,14
RC-1100006,RI-0000002C,7
RC-1100006,RI-0000004C,30
RC-1100006,RI-0000001B,5
RC-1100006,RI-0000000A,1
RC-1100007,RI-0000042I,16
RC-1100007,RI-0000029I,18
RC-1100007,RI-0000051I,28
RC-1100007,RI-0000047I,15
RC-1100007,RI-0000048I,29
RC-1100007,RI-0000041I,3
RC-1100007,RI-0000037I,4
RC-1100007,RI-0000034I,19
RC-1100007,RI-0000043I,9
RC-1100007,RI-0000045I,20
RC-1100007,RI-0000046I,15
RC-1100007,RI-0000031I,23
RC-1100007,RI-0000044I,25
RC-1100007,RI-0000038I,2
RC-1100008,RI-0000022G,21
RC-1100009,RI-0000000A,8
RC-1100009,RI-0000023G,7
RC-1100009,RI-0000005D,23
RC-1100009,RI-0000025H,16
RC-1100009,RI-0000001B,12
RC-1100009,RI-0000004C,20
RC-1100009,RI-0000002C,11
RC-1100009,RI-0000003C,26
RC-1100010,RI-0000056J,18
RC-1100010,RI-0000052J,5
RC-1100010,RI-0000057J,18
RC-1100010,RI-0000055J,19
RC-1100010,RI-0000018E,3
RC-1100010,RI-0000014E,16
RC-1100010,RI-0000015E,21
RC-1100010,RI-0000017E,30
RC-1100010,RI-0000007E,27
RC-1100010,RI-0000016E,14
RC-1100010,RI-0000012E,13
RC-1100010,RI-0000013E,27
RC-1100010,RI-0000000A,3
RC-1100010,RI-0000042I,20
RC-1100010,RI-0000046I,5
RC-1100010,RI-0000050I,2
RC-1100010,RI-0000041I,25
RC-1100010,RI-0000048I,16
RC-1100010,RI-0000049I,15
RC-1100010,RI-0000008F,3
RC-1100010,RI-0000011F,8
RC-1100010,RI-0000010F,7
RC-1100010,RI-0000009F,8
RC-1100010,RI-0000001B,19
RC-1100010,RI-0000004C,20
RC-1100010,RI-0000002C,9
RC-1100010,RI-0000003C,5
RC-1100010,RI-0000026D,18
RC-1100010,RI-0000005D,22
RC-1100010,RI-0000025H,11
RC-1100010,RI-0000021G,18
RC-1100010,RI-0000022G,19
RC-1100010,RI-0000019G,12
RC-1100010,RI-0000023G,5
RC-1100011,RI-0000008F,25
RC-1100011,RI-0000033I,14
RC-1100011,RI-0000051I,28
RC-1100011,RI-0000045I,11
RC-1100011,RI-0000039I,14
RC-1100011,RI-0000043I,22
RC-1100011,RI-0000034I,12
RC-1100011,RI-0000041I,15
RC-1100011,RI-0000027I,14
RC-1100011,RI-0000032I,28
RC-1100011,RI-0000040I,24
RC-1100011,RI-0000049I,7
RC-1100011,RI-0000046I,10
RC-1100011,RI-0000042I,1
RC-1100011,RI-0000044I,1
RC-1100011,RI-0000037I,17
RC-1100011,RI-0000035I,1
RC-1100011,RI-0000005D,29
RC-1100011,RI-0000001B,15
RC-1100011,RI-0000024H,20
RC-1100011,RI-0000053J,4
RC-1100011,RI-0000059J,15
RC-1100011,RI-0000055J,8
RC-1100011,RI-0000017E,8
RC-1100011,RI-0000018E,21
RC-1100011,RI-0000016E,17
RC-1100011,RI-0000012E,23
RC-1100011,RI-0000021G,4
RC-1100011,RI-0000022G,25
RC-1100011,RI-0000019G,27
RC-1100011,RI-0000020G,23
RC-1100011,RI-0000004C,11
RC-1100011,RI-0000002C,6
