city,state,population_size
Moscow,Russia,12480481
Saint Petersburg,Russia,5398064
Novosibirsk,Russia,1625631
Yekaterinburg,Russia,1493749
Kazan,Russia,1257391
Nizhny Novgorod,Russia,1252236
Chelyabinsk,Russia,1196680
Samara,Russia,1156659
Omsk,Russia,1154507
Rostov-on-Don,Russia,1137904
Ufa,Russia,1128787
Krasnoyarsk,Russia,1093771
Voronezh,Russia,1058261
Perm,Russia,1055397
Volgograd,Russia,1008998
Krasnodar,Russia,932629
Saratov,Russia,838042
Tyumen,Russia,807271
Tolyatti,Russia,699429
Izhevsk,Russia,648146
Barnaul,Russia,632391
Ulyanovsk,Russia,627705
Irkutsk,Russia,623562
Khabarovsk,Russia,616372
Yaroslavl,Russia,608353
Vladivostok,Russia,606561
Makhachkala,Russia,603518
Tomsk,Russia,576624
Orenburg,Russia,572188
Kemerovo,Russia,556382
Novokuznetsk,Russia,549403
Ryazan,Russia,539290
Naberezhnye Chelny,Russia,533839
Astrakhan,Russia,529793
Penza,Russia,520300
Kirov,Russia,518348
Lipetsk,Russia,508573
Balashikha,Russia,507366
Cheboksary,Russia,497618
Kaliningrad,Russia,489359
Tula,Russia,475161
Kursk,Russia,452976
Stavropol,Russia,450680
Sochi,Russia,443562
Ulan-Ude,Russia,439128
Tver,Russia,425072
Magnitogorsk,Russia,413253
Ivanovo,Russia,404598
Sevastopol,Russia,403893
Bryansk,Russia,402675
Belgorod,Russia,394142
Surgut,Russia,380632
Vladimir,Russia,356937
Chita,Russia,351784
Nizhny Tagil,Russia,349008
Arkhangelsk,Russia,346979
Simferopol,Russia,342054
Kaluga,Russia,332039
Smolensk,Russia,325495
Volzhsky,Russia,323906
Yakutsk,Russia,322987
Saransk,Russia,320612
Cherepovets,Russia,314834
Kurgan,Russia,312364
Vologda,Russia,310302
Oryol,Russia,308838
Podolsk,Russia,308130
Grozny,Russia,305911
Vladikavkaz,Russia,303597
Tambov,Russia,292140
Murmansk,Russia,287847
Petrozavodsk,Russia,281023
Nizhnevartovsk,Russia,277668
Kostroma,Russia,276929
Sterlitamak,Russia,276394
Novorossiysk,Russia,274956
Yoshkar-Ola,Russia,274715
Khimki,Russia,259550
Taganrog,Russia,248643
Komsomolsk-on-Amur,Russia,244768
Syktyvkar,Russia,244403
Nizhnekamsk,Russia,240020
Nalchik,Russia,239583
Mytishchi,Russia,235504
Shakhty,Russia,230262
Dzerzhinsk,Russia,229000
Engels,Russia,227049
Orsk,Russia,226502
Blagoveshchensk,Russia,226385
Bratsk,Russia,226269
Korolyov,Russia,225858
Veliky Novgorod,Russia,224936
Angarsk,Russia,224630
Stary Oskol,Russia,223921
Pskov,Russia,210340
Lyubertsy,Russia,205295
Yuzhno-Sakhalinsk,Russia,200636
Biysk,Russia,199464
Prokopyevsk,Russia,190334
Armavir,Russia,188960
Balakovo,Russia,187523
Abakan,Russia,186797
Rybinsk,Russia,184635
Severodvinsk,Russia,181990
Norilsk,Russia,181830
Petropavlovsk-Kamchatsky,Russia,179586
Krasnogorsk,Russia,175554
Ussuriysk,Russia,173640
Volgodonsk,Russia,171406
Novocherkassk,Russia,168035
Syzran,Russia,167160
Kamensk-Uralsky,Russia,166086
Zlatoust,Russia,163919
Almetyevsk,Russia,158429
Elektrostal,Russia,156026
Kerch,Russia,151548
Miass,Russia,151472
Salavat,Russia,150500
Pyatigorsk,Russia,147861
Kopeysk,Russia,147634
Nakhodka,Russia,145159
Khasavyurt,Russia,145109
Rubtsovsk,Russia,141584
Maykop,Russia,141475
Kolomna,Russia,140129
Berezniki,Russia,139209
Domodedovo,Russia,137160
Kovrov,Russia,135715
Odintsovo,Russia,135506
Neftekamsk,Russia,131138
Kislovodsk,Russia,128779
Bataysk,Russia,127919
Nefteyugansk,Russia,127255
Novocheboksarsk,Russia,127226
Serpukhov,Russia,126273
Shchyolkovo,Russia,126109
Derbent,Russia,125832
Kaspiysk,Russia,123988
Cherkessk,Russia,123168
Novomoskovsk,Russia,122306
Nazran,Russia,122261
Ramenskoye,Russia,121908
Pervouralsk,Russia,120778
Kyzyl,Russia,119438
Orekhovo-Zuyevo,Russia,118309
Novy Urengoy,Russia,118033
Obninsk,Russia,117419
Nevinnomyssk,Russia,116751
Dolgoprudny,Russia,116038
Oktyabrsky,Russia,114100
Dimitrovgrad,Russia,113472
Yessentuki,Russia,113056
Kamyshin,Russia,109910
Yevpatoria,Russia,108248
Reutov,Russia,108054
Pushkino,Russia,107580
Zhukovsky,Russia,107560
Murom,Russia,106984
Noyabrsk,Russia,106911
Novoshakhtinsk,Russia,106534
Seversk,Russia,106516
Artyom,Russia,105675
Achinsk,Russia,105531
Berdsk,Russia,104334
Arzamas,Russia,103979
Noginsk,Russia,103967
Elista,Russia,103122
Yelets,Russia,102313
Khanty-Mansiysk,Russia,101466
Novokuybyshevsk,Russia,100455
Zheleznogorsk,Russia,100446
Sergiyev Posad,Russia,100335
Zelenodolsk,Russia,100039
Tobolsk,Russia,98932
Votkinsk,Russia,97244
Mezhdurechensk,Russia,96299
Sarov,Russia,96052
Serov,Russia,95861
Mikhaylovsk,Russia,95721
Sarapul,Russia,95355
Leninsk-Kuznetsky,Russia,94398
Ukhta,Russia,93716
Voskresensk,Russia,92911
Solikamsk,Russia,92602
Glazov,Russia,92334
Magadan,Russia,92052
Gatchina,Russia,91685
Velikiye Luki,Russia,90922
Michurinsk,Russia,90722
Lobnya,Russia,90231
Kansk,Russia,88917
Anapa,Russia,88879
Kamensk-Shakhtinsky,Russia,87760
Kiselyovsk,Russia,86573
Gubkin,Russia,86229
Buzuluk,Russia,86103
Novotroitsk,Russia,83647
Yeysk,Russia,83094
Zheleznogorsk,Russia,82591
Bugulma,Russia,82488
Chaykovsky,Russia,82382
Ivanteyevka,Russia,81254
Kineshma,Russia,80950
Yurga,Russia,80840
Kuznetsk,Russia,80497
Azov,Russia,80428
Ust-Ilimsk,Russia,80419
Novouralsk,Russia,80357
Klin,Russia,79715
Yalta,Russia,79056
Ozyorsk,Russia,78440
Kropotkin,Russia,77655
Vidnoye,Russia,77018
Bor,Russia,76872
Gelendzhik,Russia,76783
Usolye-Sibirskoye,Russia,76047
Balashov,Russia,75773
Chernogorsk,Russia,75419
Vyborg,Russia,75355
Dubna,Russia,74985
Vsevolozhsk,Russia,74724
Shadrinsk,Russia,74652
Novoaltaysk,Russia,74556
Yelabuga,Russia,73962
Mineralnye Vody,Russia,73925
Troitsk,Russia,73421
Yegoryevsk,Russia,72763
Verkhnyaya Pyshma,Russia,72688
Chekhov,Russia,72321
Birobidzhan,Russia,71843
Chapayevsk,Russia,71720
Belovo,Russia,71240
Kirovo-Chepetsk,Russia,69835
Dmitrov,Russia,68792
Tuymazy,Russia,68246
Anzhero-Sudzhensk,Russia,68116
Feodosia,Russia,68001
Slavyansk-na-Kubani,Russia,67919
Minusinsk,Russia,67912
Kstovo,Russia,67797
Kogalym,Russia,67727
Sosnovy Bor,Russia,67720
Georgiyevsk,Russia,66436
Sunzha,Russia,66344
Stupino,Russia,65908
Buynaksk,Russia,65658
Zarechny,Russia,65502
Belogorsk,Russia,65315
Murino,Russia,64939
Beloretsk,Russia,64921
Naro-Fominsk,Russia,64902
Kungur,Russia,64898
Gorno-Altaysk,Russia,64464
Ishim,Russia,64414
Ishimbay,Russia,64386
Pavlovsky Posad,Russia,63568
Gukovo,Russia,63150
Klintsy,Russia,62992
Asbest,Russia,62908
Urus-Martan,Russia,62702
Rossosh,Russia,62625
Donskoy,Russia,62621
Kotlas,Russia,61990
Volsk,Russia,61943
Leninogorsk,Russia,61695
Zelenogorsk,Russia,61633
Revda,Russia,61533
Budyonnovsk,Russia,61329
Tuapse,Russia,61180
Polevskoy,Russia,60979
Sibay,Russia,60780
Izberbash,Russia,60453
Lysva,Russia,60310
Borisoglebsk,Russia,59864
Fryazino,Russia,59535
Kumertau,Russia,59478
Chistopol,Russia,59446
Labinsk,Russia,59330
Lesosibirsk,Russia,59306
Belebey,Russia,59229
Lytkarino,Russia,59150
Beryozovsky,Russia,59030
Nyagan,Russia,58565
Prokhladny,Russia,58226
Tikhvin,Russia,58116
Neryungri,Russia,57934
Krymsk,Russia,57927
Alexandrov,Russia,57899
Aleksin,Russia,57516
Rzhev,Russia,57515
Mikhaylovka,Russia,57447
Shchyokino,Russia,57140
Tikhoretsk,Russia,57098
Shuya,Russia,57039
Salsk,Russia,56832
Pavlovo,Russia,56680
Meleuz,Russia,56677
Sertolovo,Russia,56620
Dzerzhinsky,Russia,56376
Krasnoturyinsk,Russia,56290
Iskitim,Russia,56033
Gudermes,Russia,55863
Shali,Russia,55076
Apatity,Russia,54667
Svobodny,Russia,54017
Severomorsk,Russia,53525
Liski,Russia,53504
Volzhsk,Russia,53216
Vyksa,Russia,53010
Gus-Khrustalny,Russia,52779
Vorkuta,Russia,52776
Krasnokamsk,Russia,52537
Vyazma,Russia,52347
Arsenyev,Russia,52173
Snezhinsk,Russia,51751
Zhigulyovsk,Russia,51641
Belorechensk,Russia,51590
Krasnokamensk,Russia,51387
Salekhard,Russia,50976
Timashyovsk,Russia,50792
Kirishi,Russia,50525
Solnechnogorsk,Russia,50169
Cheremkhovo,Russia,50154
Toronto,Canada,2600000
Montreal,Canada,1600000
Calgary,Canada,1019942
Ottawa,Canada,812129
Edmonton,Canada,712391
Mississauga,Canada,668549
North York,Canada,636000
Winnipeg,Canada,632063
Scarborough,Canada,600000
Vancouver,Canada,600000
Quebec,Canada,528595
Hamilton,Canada,519949
Brampton,Canada,433806
Surrey,Canada,394976
Laval,Canada,376845
Halifax,Canada,359111
Etobicoke,Canada,347948
London,Canada,346765
Okanagan,Canada,297601
Victoria,Canada,289625
Windsor,Canada,278013
Markham,Canada,261573
Oshawa,Canada,247989
Gatineau,Canada,242124
Vaughan,Canada,238866
Kitchener,Canada,233700
Longueuil,Canada,229330
Burnaby,Canada,202799
Ladner,Canada,200000
Saskatoon,Canada,198958
Richmond Hill,Canada,185541
Barrie,Canada,182041
Richmond,Canada,182000
Nepean,Canada,180000
Regina,Canada,176183
Oakville,Canada,165697
Burlington,Canada,164415
Greater Sudbury,Canada,157857
Abbotsford,Canada,151683
Saguenay,Canada,143692
St. Catharines,Canada,131989
Sherbrooke,Canada,129447
Anmore,Canada,126456
Levis,Canada,126396
Kelowna,Canada,125109
Cambridge,Canada,120372
Trois Rivieres,Canada,119693
Guelph,Canada,115760
East York,Canada,115365
Coquitlam,Canada,114565
Kingston,Canada,114195
Sydney,Canada,105968
Delta,Canada,101668
Dartmouth,Canada,101343
Thunder Bay,Canada,99334
St. John's,Canada,99182
Waterloo,Canada,97475
Terrebonne,Canada,94703
Ajax,Canada,90167
Saint John,Canada,87857
Pickering,Canada,87838
Brantford,Canada,87759
Moncton,Canada,87467
Nanaimo,Canada,84905
Milton,Canada,84362
Sarnia,Canada,82998
Niagara Falls,Canada,82000
Willowdale,Canada,79440
Saint Laurent,Canada,77391
Chilliwack,Canada,77000
Repentigny,Canada,76237
Fort Mcmurray,Canada,76000
Peterborough,Canada,75877
Sault Ste. Marie,Canada,74948
Newmarket,Canada,74295
La Haute Saint Charles,Canada,74070
Red Deer,Canada,73593
Saint Leonard,Canada,73423
Saint Jean Sur Richelieu,Canada,71613
Lethbridge,Canada,70617
Maple Ridge,Canada,70000
Brossard,Canada,69575
Kamloops,Canada,68714
Notre Dame De Grace,Canada,67000
White Rock,Canada,66450
Prince George,Canada,65558
Medicine Hat,Canada,63138
Norfolk County,Canada,60847
Drummondville,Canada,59489
New Westminster,Canada,58549
St. Albert,Canada,57719
Sherwood Park,Canada,55063
Saint Jerome,Canada,54948
Jonquiere,Canada,54842
Granby,Canada,53979
Fredericton,Canada,52337
Welland,Canada,50331
Saint Hyacinthe,Canada,50326
North Bay,Canada,50170
Belleville,Canada,49454
Shawinigan,Canada,49161
Dollard Des Ormeaux,Canada,48930
Cornwall,Canada,48821
North Vancouver,Canada,48000
Vernon,Canada,47274
Blainville,Canada,46493
West End,Canada,44560
Chatham,Canada,43550
Timmins,Canada,42997
Chateauguay,Canada,42786
Quinte West,Canada,42697
West Vancouver,Canada,42694
Charlottetown,Canada,42402
Rimouski,Canada,42240
Saint Eustache,Canada,42062
Grande Prairie,Canada,41462
Boucherville,Canada,39062
Salaberry De Valleyfield,Canada,38662
Penticton,Canada,37721
St. Thomas,Canada,36110
Rock Forest,Canada,35500
Joliette,Canada,34772
Mirabel,Canada,34626
Mascouche,Canada,34626
Prince Albert,Canada,34609
Victoriaville,Canada,34426
Brant,Canada,34415
Woodstock,Canada,33892
Campbell River,Canada,33430
Ancaster,Canada,33232
Courtenay,Canada,32793
Orangeville,Canada,32640
North Cowichan,Canada,32272
Moose Jaw,Canada,32166
Midland,Canada,31502
Cote Saint Luc,Canada,31395
Saint Georges,Canada,31173
Val D'or,Canada,31123
Stratford,Canada,30233
Orillia,Canada,30178
Pointe Claire,Canada,30161
Baie Comeau,Canada,29808
Alma,Canada,29526
Sainte Julie,Canada,29019
West Kelowna,Canada,28793
Port Moody,Canada,27512
Lloydminster,Canada,27000
Boisbriand,Canada,26483
Brandon,Canada,26234
Vaudreuil Dorion,Canada,25789
Thetford Mines,Canada,25704
Walnut Grove,Canada,25683
Prince Edward,Canada,25496
Sainte Therese,Canada,25224
Airdrie,Canada,24673
Mount Pearl,Canada,24671
Saint Bruno De Montarville,Canada,24388
Rouyn Noranda,Canada,24023
Saint Constant,Canada,23957
Brockville,Canada,23886
Langley,Canada,23606
Whitehorse,Canada,23272
Owen Sound,Canada,22625
Chambly,Canada,22608
Sept Iles,Canada,22582
Langford,Canada,22459
Duncan,Canada,22199
La Prairie,Canada,21763
Lower Sackville,Canada,21379
Port Alberni,Canada,21282
Keswick,Canada,21000
Varennes,Canada,20950
Clarence Rockland,Canada,20790
Truro,Canada,20650
Westmount,Canada,20494
Kirkland,Canada,20491
Lindsay,Canada,20354
New Glasgow,Canada,20322
Cole Harbour,Canada,20000
Glace Bay,Canada,19968
Huntsville,Canada,19579
Terrace,Canada,19443
North Battleford,Canada,19440
Beaconsfield,Canada,19194
Mont Royal,Canada,18933
Beloeil,Canada,18927
Corner Brook,Canada,18693
Cranbrook,Canada,18610
Port Colborne,Canada,18599
Riviere Du Loup,Canada,18586
Dieppe,Canada,18565
Thorold,Canada,18224
Miramichi,Canada,18129
Cobourg,Canada,18099
Dorval,Canada,18088
Oak Bay,Canada,18015
Amos,Canada,17918
Spruce Grove,Canada,17767
Pitt Meadows,Canada,17410
Fort St. John,Canada,17402
Deux Montagnes,Canada,17402
Saint Augustin De Desmaures,Canada,17281
Conception Bay South,Canada,17087
Saint Lazare,Canada,17016
Sainte Catherine,Canada,16762
L'assomption,Canada,16738
Edmundston,Canada,16643
L'ancienne Lorette,Canada,16516
Cochrane,Canada,16365
Lutes Mountain,Canada,16311
Sainte Catherine,Canada,16211
Salmon Arm,Canada,16205
Rayside Balfour,Canada,16050
Petawawa,Canada,15988
Fort Erie,Canada,15953
Candiac,Canada,15947
Yellowknife,Canada,15865
Collingwood,Canada,15809
Mont Saint Hilaire,Canada,15720
Camrose,Canada,15686
Yorkton,Canada,15669
Saint Basile Le Grand,Canada,15605
Leduc,Canada,15561
Pembroke,Canada,15551
Magog,Canada,15550
Greater Napanee,Canada,15132
Kenora,Canada,15096
Le Plateau,Canada,15000
Fort Saskatchewan,Canada,14957
Okotoks,Canada,14826
Gaspe,Canada,14819
Matane,Canada,14812
Summerside,Canada,14808
Prince Rupert,Canada,14708
Swift Current,Canada,14703
Colwood,Canada,14687
Rosemere,Canada,14173
Williams Lake,Canada,14168
Saint Lin Laurentides,Canada,14159
Simcoe,Canada,13922
Quesnel,Canada,13788
Bay Roberts,Canada,13737
Mont Laurier,Canada,13405
Portage La Prairie,Canada,12957
Dolbeau Mistassini,Canada,12916
Powell River,Canada,12779
Brooks,Canada,12744
Bathurst,Canada,12714
Kentville,Canada,12636
Elliot Lake,Canada,12508
Thompson,Canada,12467
Aldergrove,Canada,12363
Canmore,Canada,12288
Hawkesbury,Canada,12283
North Perth,Canada,12254
Grand Falls Windsor,Canada,12076
Parksville,Canada,12000
Beauharnois,Canada,11918
Ingersoll,Canada,11874
Montmagny,Canada,11724
Cold Lake,Canada,11595
Sainte Marie,Canada,11584
Uxbridge,Canada,11531
Fall River,Canada,11526
Amherstburg,Canada,11459
Sainte Marthe Sur Le Lac,Canada,11311
Wetaskiwin,Canada,11302
Pincourt,Canada,11197
Paris,Canada,11177
Becancour,Canada,11134
North Saanich,Canada,11089
Cowansville,Canada,10887
Dawson Creek,Canada,10802
Sainte Anne Des Plaines,Canada,10680
Lambton Shores,Canada,10656
Sainte Adele,Canada,10634
Les Coteaux,Canada,10622
Whistler,Canada,10600
Smiths Falls,Canada,10553
Sylvan Lake,Canada,10518
Temiskaming Shores,Canada,10442
Cantley,Canada,10412
Rawdon,Canada,10400
Labrador City,Canada,10313
Angus,Canada,10269
Prevost,Canada,10132
Mercier,Canada,10121
Lacombe,Canada,10059
Strathmore,Canada,10009
Hanceville,Canada,10000
South Huron,Canada,9982
Bells Corners,Canada,9977
L'ile Perrot,Canada,9927
Estevan,Canada,9904
Hinton,Canada,9889
Notre Dame De L'ile Perrot,Canada,9885
High River,Canada,9826
Nelson,Canada,9813
Carleton Place,Canada,9743
Trail,Canada,9707
Selkirk,Canada,9653
Lorraine,Canada,9613
Steinbach,Canada,9607
Arnprior,Canada,9607
Lachute,Canada,9562
Val Des Monts,Canada,9539
La Tuque,Canada,9503
Weyburn,Canada,9362
Amherst,Canada,9336
Dorchester,Canada,9329
Roberval,Canada,9287
Saint Raymond,Canada,9273
Huron East,Canada,9264
Kapuskasing,Canada,9240
Saint Sauveur,Canada,9191
Oromocto,Canada,8998
Kitimat,Canada,8987
La Malbaie,Canada,8959
Stony Plain,Canada,8939
Mont Tremblant,Canada,8892
Binbrook,Canada,8796
Whitecourt,Canada,8763
Lavaltrie,Canada,8762
Ladysmith,Canada,8740
Pont Rouge,Canada,8723
Castlegar,Canada,8715
Otterburn Park,Canada,8464
Dauphin,Canada,8418
Bois Des Filion,Canada,8383
Winkler,Canada,8270
Concord,Canada,8255
Bracebridge,Canada,8238
Notre Dame Des Prairies,Canada,8230
Dryden,Canada,8195
Taber,Canada,8163
Morinville,Canada,8108
Silver Berry,Canada,8089
Saint Felicien,Canada,8088
Saint Hippolyte,Canada,8083
Bridgewater,Canada,8070
Goderich,Canada,8032
Wild Rose,Canada,8031
Renfrew,Canada,8018
Edson,Canada,7975
Fort Frances,Canada,7931
Chandler,Canada,7914
Kirkland Lake,Canada,7775
Slave Lake,Canada,7661
Happy Valley Goose Bay,Canada,7572
Wasaga Beach,Canada,7567
Chibougamau,Canada,7563
Revelstoke,Canada,7533
Aylmer,Canada,7527
Pont Rouge,Canada,7518
Camlachie,Canada,7506
Banff,Canada,7502
Yarmouth,Canada,7500
Carignan,Canada,7426
Campbellton,Canada,7384
Beaumont,Canada,7366
Innisfil,Canada,7345
Delson,Canada,7322
Sydney Mines,Canada,7312
Baie Saint Paul,Canada,7288
Hanover,Canada,7255
La Sarre,Canada,7206
Asbestos,Canada,7190
Merritt,Canada,7179
Bluewater,Canada,7044
Coaticook,Canada,7021
Hampstead,Canada,6996
Olds,Canada,6947
Greenwood,Canada,6915
Gibsons,Canada,6821
Carbonear,Canada,6814
Saint Zotique,Canada,6773
Kincardine,Canada,6725
Plessisville,Canada,6677
Brownsburg Chatham,Canada,6664
Ponoka,Canada,6656
Mont Joli,Canada,6568
Rocky Mountain House,Canada,6527
Kimberley,Canada,6513
Perth,Canada,6481
Parry Sound,Canada,6469
Pointe Calumet,Canada,6396
Morden,Canada,6395
Coaldale,Canada,6317
Summerland,Canada,6292
Stephenville,Canada,6278
Amqui,Canada,6261
Beauceville,Canada,6226
Saint Joseph Du Lac,Canada,6195
Sooke,Canada,6145
Iqaluit,Canada,6124
Drayton Valley,Canada,6099
Farnham,Canada,6061
The Pas,Canada,6055
Bromont,Canada,6049
Saint Felix De Valois,Canada,6029
Shanghai,China,22315474
Beijing,China,11716620
Tianjin,China,11090314
Guangzhou,China,11071424
Shenzhen,China,10358381
Wuhan,China,9785388
Dongguan,China,8000000
Chongqing,China,7457600
Chengdu,China,7415590
Nanjing,China,7165292
Nanchong,China,7150000
Xi'an,China,6501190
Shenyang,China,6255921
Hangzhou,China,6241971
Harbin,China,5878939
Tai'an,China,5499000
Suzhou,China,5345961
Shantou,China,5329024
Jinan,China,4335989
Zhengzhou,China,4253913
Changchun,China,4193073
Dalian,China,4087733
Kunming,China,3855346
Qingdao,China,3718835
Foshan,China,3600000
Puyang,China,3590000
Wuxi,China,3543719
Xiamen,China,3531347
Tianshui,China,3500000
Ningbo,China,3491597
Shiyan,China,3460000
Taiyuan,China,3426519
Tangshan,China,3372102
Hefei,China,3310268
Zibo,China,3129228
Zhongshan,China,3121275
Changsha,China,3093980
